Name0,Desc1,Desc2,Name1,HEX,R,G,B,Hue,Sat,Lum
black,very dark orange,Very dark (mostly black) orange [Brown tone],Black (Kokushoku),#171412,23,20,18,24,12.2,8.0
orange,medium light orange,Light orange,Pale incense (Usukō),#ffa565,255,165,101,24,100.0,69.8
grey,medium dark orange,Very dark grayish orange,Quincy,#6A5445,106,84,69,24,21.1,34.3
brown,medium light orange,Very soft orange,Tumbleweed,#DEAA88,222,170,136,24,56.6,70.2
orange,orange,Pure (or mostly pure) orange,Safety orange (blaze orange),#FF6700,255,103,0,24,100.0,50.0
brown,orange,Moderate orange,Raw Sienna,#D68A59,214,138,89,24,60.4,59.4
brown,medium dark orange,Dark orange [Brown tone],Fox-color (Kitsune-iro),#985629,152,86,41,24,57.5,37.8
orange,medium light orange,Light orange,Daylily-colored (Kanzō-iro),#ff8936,255,137,54,24,100.0,60.6
black,very dark orange,Very dark orange [Brown tone],American bronze,#391802,57,24,2,24,93.2,11.6
brown,orange,Dark orange [Brown tone],Clove-dyed (Chōjizome),#a96232,169,98,50,24,54.3,42.9
orange,orange,Vivid orange,Pumpkin,#FF7518,255,117,24,24,100.0,54.7
brown,medium light orange,Soft orange,ChineseApricot,#E69966,230,153,102,24,71.9,65.1
orange,light orange,Very light orange,Toyo Ink CF10522,#FFB280,255,178,128,24,100.0,75.1
brown,dark orange,Very dark desaturated orange,Bistre,#3D2B1F,61,43,31,24,32.6,18.0
brown,light orange,Very soft orange,Apricot,#FBCEB1,251,206,177,24,90.2,83.9
brown,orange,Dark moderate orange,CopperBronze,#AE6938,174,105,56,25,51.3,45.1
brown,medium light orange,Mostly desaturated dark orange,Diamond Paint Mocha,#B29784,178,151,132,25,23.0,60.8
brown,orange,Strong orange,Amber (Kohaku-iro),#ca6924,202,105,36,25,69.7,46.7
brown,medium dark orange,Strong orange,Burnt orange,#CC5500,204,85,0,25,100.0,40.0
grey,very light  orange,Light grayish orange,Champagne pink,#F1DDCF,241,221,207,25,54.8,87.8
orange,orange,Pure (or mostly pure) orange,Spanish orange,#E86100,232,97,0,25,100.0,45.5
brown,light orange,Very soft orange,Desert sand,#EDC9Af,237,201,175,25,63.3,80.8
brown,orange,Moderate orange,Ochre (lit. earthen yellow) (Ōdo-iro),#be7f51,190,127,81,25,45.6,53.1
brown,orange,Strong orange,Golden brown (Kincha),#c66b27,198,107,39,25,67.1,46.5
brown,light orange,Light grayish orange,CopperCream,#ECD5C5,236,213,197,25,50.6,84.9
orange,medium light orange,Soft orange,OrangeTan,#FAA76C,250,167,108,25,93.4,70.2
brown,orange,Mostly desaturated dark orange,Chamoisee,#a0785a,160,120,90,25,28.0,49.0
brown,medium dark  orange,Dark orange [Brown tone],Saddlebrown,#8B4513,139,69,19,25,75.9,31.0
brown,orange,Strong orange,Decaying leaves color (Kuchiba-iro),#d57835,213,120,53,25,65.6,52.2
white,very light orange,Very pale (mostly white) orange,Seashell,#FFF5EE,255,245,238,25,100.0,96.7
grey,medium dark orange,Very dark grayish orange,Mousy indigo (Ainezumi),#5c544e,92,84,78,25,8.2,33.3
brown,orange,Strong orange,Tenné (tawny),#CD5700,205,87,0,25,100.0,40.2
brown,orange,Strong orange,"Chocolate,Cinnamon,Cocoa brown",#D2691E,210,105,30,25,75.0,47.1
orange,medium light orange,Very light orange,Very light tangelo,#ffb077,255,176,119,25,100.0,73.3
orange,medium light orange,Bright orange,Royal orange,#f99245,249,146,69,25,93.8,62.4
brown,medium dark orange,Very dark desaturated orange,Coffee,#6F4E37,111,78,55,25,33.7,32.5
brown,medium dark orange,Very dark orange [Brown tone],Van Dyke brown,#664228,102,66,40,25,43.7,27.8
brown,medium dark orange,Dark orange [Brown tone],Russet,#80461B,128,70,27,26,65.2,30.4
brown,medium dark orange,Dark orange [Brown tone],Russet,#804618,128,70,27,26,68.4,29.8
