index,Name0,Hue,Sat,Lum
1536581,green,150.0,66.4,26.9
7362723,purple,259.0,29.9,49.2
15240794,brown,21.0,75.5,63.1
16286585,pink,5.0,90.1,72.4
6226175,purple,262.0,100.0,50.0
1879160,green,158.0,72.0,39.2
11875209,pink,320.0,56.0,45.5
12712354,green,98.0,87.9,80.6
44355,green,143.0,100.0,33.9
16416882,pink,6.0,93.2,71.4
4276573,grey,240.0,17.7,31.0
13148872,purple,300.0,25.7,71.0
16596882,pink,334.0,97.9,62.0
9991379,purple,263.0,51.9,64.1
13000352,pink,322.0,47.7,57.3
10258381,purple,263.0,41.2,66.7
14045826,pink,338.0,61.7,58.0
12562354,grey,349.0,11.1,71.8
7845374,blue,212.0,98.5,73.1
4400170,brown,348.0,30.1,20.2
5918671,purple,245.0,57.1,56.1
8806542,purple,290.0,19.3,46.7
16773365,white,340.0,100.0,97.1
10865271,green,87.0,43.9,62.9
16756680,pink,341.0,100.0,84.3
16734976,orange,21.0,100.0,50.0
16737996,pink,320.0,100.0,70.0
16740471,pink,357.0,100.0,72.0
16738048,orange,24.0,100.0,50.0
4557510,blue,208.0,53.1,52.4
3297915,blue,213.0,42.2,33.9
4992807,grey,12.0,32.2,22.5
2533342,blue,197.0,73.6,51.0
5009949,green,86.0,59.4,28.0
16724889,pink,330.0,100.0,60.0
12009742,brown,18.0,85.8,38.6
15099761,pink,355.0,71.8,65.3
16551596,pink,343.0,94.8,77.3
2785280,green,100.0,100.0,25.1
